,title,artist,date,medium,dimension,image_path
2140,Silver Sun,Arthur Dove,1929,"Oil, metallic paint, and an unidentified material (possibly wax) on canvas",55.3 × 74.9 cm (21 3/4 × 29 1/2 in.),Dataset\Arthur Dove\silver-sun
2141,From a Wasp,Arthur Dove,c. 1914,Oil on wood,22 × 26.7 cm (8 5/8 × 10 1/2 in.),Dataset\Arthur Dove\from-a-wasp
2142,Monkey Fur,Arthur Dove,1926,"Corroded metal, monkey fur, tin foil, and cloth on metal",43.2 × 30.5 cm (17 × 12 in.),Dataset\Arthur Dove\monkey-fur
2143,Telegraph Pole,Arthur Dove,1929,"Oil, metallic paint, and pencil, on steel plate",71.1 × 50.5 cm (28 × 19 7/8 in.),Dataset\Arthur Dove\telegraph-pole
2144,Dogs Chasing Each Other,Arthur Dove,1929,Oil on canvas,45.4 × 54.6 cm (17 7/8 × 21 1/2 in.),Dataset\Arthur Dove\dogs-chasing-each-other
2145,Cross and Weather Vane,Arthur Dove,1935,Oil on canvas,88.3 × 62.6 cm (34 3/4 × 24 5/8 in.),Dataset\Arthur Dove\cross-and-weather-vane
2146,Swing Music (Louis Armstrong),Arthur Dove,1938,"Emulsion, oil, and wax on canvas",44.8 × 65.7 cm (17 5/8 × 25 7/8 in.),Dataset\Arthur Dove\swing-music-louis-armstrong
2147,A Reasonable Facsimile,Arthur Dove,1942,Encaustic on canvas,47.3 × 63.2 cm (18 5/8 × 24 7/8 in.),Dataset\Arthur Dove\a-reasonable-facsimile
2148,The Dark Mountain,Marsden Hartley,1909,Oil on composition board,48.9 × 59.1 cm (19 1/4 × 23 1/4 in.),Dataset\Marsden Hartley\the-dark-mountain
2149,Landscape no. 26,Marsden Hartley,1909/10,Oil on cardboard,30.5 × 30.5 cm (12 × 12 in.),Dataset\Marsden Hartley\landscape-no-26
2150,Movements,Marsden Hartley,1913,Oil on canvas,119.5 × 119 cm (47 × 46 7/8 in.),Dataset\Marsden Hartley\movements
2151,Provincetown,Marsden Hartley,1916,Oil on composition board,61 × 50.8 cm (24 × 20 1/16 in.),Dataset\Marsden Hartley\provincetown
2152,The Last of New England—The Beginning of New Mexico,Marsden Hartley,1918–19,Oil on cardboard,61 × 76.3 cm (24 × 30 in.),Dataset\Marsden Hartley\the-last-of-new-england-the-beginning-of-new-mexico
2153,Still Life No. 15,Marsden Hartley,c. 1917,Oil on composition board,59.4 × 49.5 cm (23 3/8 × 19 1/2 in.),Dataset\Marsden Hartley\still-life-no-15
2154,"Landscape No. 3, Cash Entry Mines, New Mexico",Marsden Hartley,1920,Oil on canvas,70.6 × 90.8 cm (27 3/4 × 35 3/4 in.),Dataset\Marsden Hartley\landscape-no-3-cash-entry-mines-new-mexico
2155,Still Life No. 3,Marsden Hartley,1923,Oil on canvas,57.8 × 104.1 cm (22 3/4 × 41 in.),Dataset\Marsden Hartley\still-life-no-3
2156,Portrait of a Sea Dove—Dead,Marsden Hartley,1935,Oil on composition board,24.8 × 35 cm (9 3/4 × 13 3/4 in.),Dataset\Marsden Hartley\portrait-of-a-sea-dove-dead
2157,Saint Ignatius of Antioch Disemboweled by Trajan's Torturers,"Domenico Beccafumi, called Il Mecarino",1525/27,Oil on panel,diameter: 24 in. (61 cm),"Dataset\Domenico Beccafumi, called Il Mecarino\saint-ignatius-of-antioch-disemboweled-by-trajan-s-torturers"
2158,Portrait of a Man,Jan Mijtens,c. 1660/65,Oil on canvas,41 1/4 × 33 1/8 in. (104.8 × 84.1 cm),Dataset\Jan Mijtens\portrait-of-a-man
2159,Still Life (Centrifugal Expansion of Colors),Gino Severini,1916,Oil on canvas,66.7 × 61 cm (26 1/4 × 24 in.),Dataset\Gino Severini\still-life-centrifugal-expansion-of-colors
2160,Trompe-l'Oeil Still Life with a Flower Garland and a Curtain,Adriaen van der Spelt,1658,Oil on panel,18 1/4 × 25 1/8 in. (46.5 × 63.9 cm),Dataset\Adriaen van der Spelt\trompe-l-oeil-still-life-with-a-flower-garland-and-a-curtain
2161,The Synagogue,Alessandro Magnasco,1725/35,Oil on canvas,47 × 58 15/16 in. (119.4 × 149.8 cm),Dataset\Alessandro Magnasco\the-synagogue
2162,"Movement: Boats and Objects, Blue Gray Sea",John Marin,1947,Oil on canvas,73.7 × 92.1 cm (29 × 36 1/4 in.),Dataset\John Marin\movement-boats-and-objects-blue-gray-sea
2163,Head of a Young Woman,Marie Laurencin,1926,Oil on canvas,18 1/2 × 15 in. (46.1 × 38 cm),Dataset\Marie Laurencin\head-of-a-young-woman
2164,"Rocks at the Lighthouse, Biarritz",Joaquín Sorolla y Bastida,1906,Oil on canvas,23 5/8 × 40 1/2 in. (61.5 × 103.2 cm),Dataset\Joaquín Sorolla y Bastida\rocks-at-the-lighthouse-biarritz
2165,Sketch for Beach Scene,Joaquín Sorolla y Bastida,1906,Oil on panel,14.6 × 20.6 cm (5 3/4 × 8 1/8 in.),Dataset\Joaquín Sorolla y Bastida\sketch-for-beach-scene
2166,Still Life (Flowers),Louis Valtat,n.d.,Oil on cradled panel,46.7 × 60 cm. (18 3/8 × 23 5/8 in.),Dataset\Louis Valtat\still-life-flowers
2167,Jeune marseillaise,Charles Camoin,1904/05,Oil on canvas,31 7/8 × 25 3/8 in. (81 × 65.4 cm),Dataset\Charles Camoin\jeune-marseillaise
2168,The Glass,Pablo Picasso,1911/12,Oil on canvas,13 × 7 in. (33 × 17.6 cm),Dataset\Pablo Picasso\the-glass
2169,Homage to the Square: New Light,Josef Albers,1967,Acrylic on board,119.4 × 122 cm (47 × 48 in.),Dataset\Josef Albers\homage-to-the-square-new-light
2170,Flemish II,Al Held,1972,Oil on canvas,152.4 × 152.4 cm (60 × 60 in.),Dataset\Al Held\flemish-ii
2171,Gonzalez and Shadow,David Hockney,1972,Oil on canvas,121.9 × 91.4 cm (48 × 36 in.),Dataset\David Hockney\gonzalez-and-shadow
2172,White in Blue,Hans Hofmann,1947,Oil on canvas,"152.4 × 132.1 cm (60 × 52 in.), unframed",Dataset\Hans Hofmann\white-in-blue
2173,White/Black Curve,Ellsworth Kelly,1973,Oil on canvas,178.4 × 295 cm (70 1/4 × 118 in.),Dataset\Ellsworth Kelly\white-black-curve
2174,Number Three,Kestutis Edward Zapkus,1967,"Oil, vinyl screen, and acrylic on canvas",304.8 × 182.8 cm (120 × 72 in.),Dataset\Kestutis Edward Zapkus\number-three
2175,Grecian Dream,Kenneth Noland,1969,Acrylic on canvas,58.4 × 304.8 cm (23 × 120 in.),Dataset\Kenneth Noland\grecian-dream
2176,Pitt,Deborah Remington,1973,Oil on canvas,50.8 × 45.7 cm (20 × 18 in.),Dataset\Deborah Remington\pitt
2177,Dewey Square,Frank Stella,1962,Oil on canvas,77.5 × 77.5 cm (30 1/2 × 30 1/2 in.),Dataset\Frank Stella\dewey-square
2178,Ouk 2,Victor de Vasarely,1963,Oil on board laid down on panel,68.6 × 63.5 cm (27 × 25 in.),Dataset\Victor de Vasarely\ouk-2
2179,End of the Season,Jack Butler Yeats,1945,Oil on canvas,24 × 36 in. (61 × 91.4 cm),Dataset\Jack Butler Yeats\end-of-the-season
2180,Untitled,Jean-Paul Riopelle,1953,Oil on canvas,64.8 × 54.6 cm (25 1/2 × 21 1/4 in.),Dataset\Jean-Paul Riopelle\untitled
2181,The City,Jean Lurçat,c. 1923,Oil on canvas,71.1 × 90.8 cm (28 × 35 3/4 in.),Dataset\Jean Lurçat\the-city
2182,The Courtesans,Leon Golub,c. 1950,Gouache and oil on hardboard,74.9 × 121.9 cm (29 1/2 × 48 in.),Dataset\Leon Golub\the-courtesans
2183,Alice,William Merritt Chase,1892,Oil on canvas,171.8 × 125.4 cm (67 5/8 × 49 3/8 in.),Dataset\William Merritt Chase\alice
2184,Saint Martin and the Beggar,"Domenico Theotokópoulos, called El Greco",about 1597–about 1600,Oil on canvas,110 × 63 cm (43 5/16 × 24 13/16 in. ); original painted surface: 107.5 × 58 cm (42 5/16 × 22 7/8 in.),"Dataset\Domenico Theotokópoulos, called El Greco\saint-martin-and-the-beggar"
2185,Path by the Sea,Leon Kroll,c. 1929,Oil on canvas,66 × 108 cm (26 × 42 1/2 in.),Dataset\Leon Kroll\path-by-the-sea
2186,Bamboo-Covered Stream in Spring Rain,Xia Chang,"Ming dynasty (1368–1644), dated 1441",Handscroll; ink on paper,41.3 × 1500.0 cm (16 1/4 × 600 in.),Dataset\Xia Chang\bamboo-covered-stream-in-spring-rain
2187,Saint John the Baptist in the Wilderness,Diego Velázquez,ca. 1622,Oil on canvas,175.3 × 152.5 cm (69 × 60 in.),Dataset\Diego Velázquez\saint-john-the-baptist-in-the-wilderness
2188,Joseph Gerrish,John Singleton Copley,1770,Oil on canvas,82.6 × 63.5 cm (32 1/2 × 25 in.),Dataset\John Singleton Copley\joseph-gerrish
2189,Catskill Mountains,George Inness,1870,Oil on canvas,123.8 × 184.5 cm (48 3/4 × 72 5/8 in.),Dataset\George Inness\catskill-mountains
2190,Table at a Café,Juan Gris,1912,Oil on canvas,18 × 14 7/8 in. (45.7 × 37.8 cm),Dataset\Juan Gris\table-at-a-cafe
2191,Landscape (Bordeaux II),Amédée Ozenfant,1918,Oil on canvas,55 × 45 cm (21 × 16 5/8 in.),Dataset\Amédée Ozenfant\landscape-bordeaux-ii
2192,The Artist's Daughter,Augustin Théodule Ribot,c. 1860/65,Oil on canvas,11 3/4 × 8 1/4 in. (29.8 × 21 cm),Dataset\Augustin Théodule Ribot\the-artist-s-daughter
2193,"Sawmill, Outskirts of Paris",Henri Rousseau,c. 1893/95,Oil on canvas,10 × 17 7/8 in. (25.5 × 45.5 cm),Dataset\Henri Rousseau\sawmill-outskirts-of-paris
2194,Shop Girls,Elizabeth Sparhawk-Jones,c. 1912,Oil on canvas,96.5 × 121.9 (38 × 48 in.),Dataset\Elizabeth Sparhawk-Jones\shop-girls
2195,The Puff of Smoke,Gifford Beal,1912,Oil on canvas,92.1 × 122.6 cm (36 1/4 × 48 1/4 in.),Dataset\Gifford Beal\the-puff-of-smoke
2196,"Nouvart Dzeron, A Daughter of Armenia",Ralph Elmer Clarkson,1912,Oil on canvas,203.2 × 101.6 cm (80 × 40 in.),Dataset\Ralph Elmer Clarkson\nouvart-dzeron-a-daughter-of-armenia
2197,Summer in the Catskills,George Inness,1867,Oil on canvas,50.8 × 77.5 cm (20 × 30 1/2 in.),Dataset\George Inness\summer-in-the-catskills
2198,A Marine,George Inness,c. 1874/75,Oil on canvas,76.8 × 114.9 cm (30 1/4 × 45 1/4 in.),Dataset\George Inness\a-marine
2199,Woodman (Waldarbeiter),Georg Baselitz,1969,Charcoal and synthetic resin on linen,"254.6 × 204.5 cm (100 1/4 × 80 1/2 in.), framed",Dataset\Georg Baselitz\woodman-waldarbeiter
2200,George Franklin Archer and the Archer Residence,Charles Spencer Humphreys,1871,Oil on canvas,62.2 × 76.5 cm (24 1/2 × 30 1/8 in.),Dataset\Charles Spencer Humphreys\george-franklin-archer-and-the-archer-residence
2201,Self-Portrait,Nicolas de Largillière,c. 1725,Oil on canvas,31 15/16 × 25 1/2 in. (81.1 × 64.8 cm),Dataset\Nicolas de Largillière\self-portrait
2202,Italian Landscape with Travelers,Jan Both,1645/50,Oil on canvas,49.5 × 61 cm (19 1/2 × 24 in. ),Dataset\Jan Both\italian-landscape-with-travelers
2203,Persons in Louis XV Costumes,Adolphe Joseph Thomas Monticelli,c. 1880,Oil on cradled panel,12 5/8 × 18 1/4 in. (32 × 46.3 cm),Dataset\Adolphe Joseph Thomas Monticelli\persons-in-louis-xv-costumes
2204,Fête d'Après-Midi,Adolphe Joseph Thomas Monticelli,c. 1880,Oil on panel,17 × 21 7/8 in. (43 × 55.5 cm),Dataset\Adolphe Joseph Thomas Monticelli\fete-d-apres-midi
2205,Trepanning a Recruit,George Morland,c. 1790,Oil on canvas,54 × 43.5 cm (21 1/4 × 17 1/8 in.),Dataset\George Morland\trepanning-a-recruit
2206,The Traveler,Jacques Emile Blanche,c. 1890,Oil on canvas,79 1/4 × 55 in. (201.3 × 139.7 cm),Dataset\Jacques Emile Blanche\the-traveler
2207,Old Lady,Mary Foote,1913,Oil on canvas,91.4 × 63.5 cm (36 × 25 in.),Dataset\Mary Foote\old-lady
2208,Quiet History,Robert Barnes,1986,Oil on canvas,221.6 × 130.2 cm (87 1/4 × 51 1/4 in.),Dataset\Robert Barnes\quiet-history
2209,Mountain Villa after Rain,Yang Jin,"Qing dynasty (1644–1911), 1725",Hanging scroll; ink and light color on paper,,Dataset\Yang Jin\mountain-villa-after-rain
2210,Bird's Nest and Ferns,Fidelia Bridges,1863,Oil on panel,20 × 16.8 cm (7 7/8 × 6 5/8 in.),Dataset\Fidelia Bridges\bird-s-nest-and-ferns
2211,"Point Breeze, the Estate of Joseph Napoleon Bonaparte at Bordentown, New Jersey",Charles B. Lawrence,1817/20,Oil on canvas,68.6 × 92.7 cm (27 × 36 1/2 in.),Dataset\Charles B. Lawrence\point-breeze-the-estate-of-joseph-napoleon-bonaparte-at-bordentown-new-jersey
2212,One Dollar Silver Certificate,Victor Dubreuil,1898/1900,Oil on canvas,22.9 × 30.5 cm (9 × 12 in.),Dataset\Victor Dubreuil\one-dollar-silver-certificate
2213,Major-General Henry Dearborn,Gilbert Stuart,1812,Oil on mahogany panel,71.5 × 57.1 cm (28 3/16 × 22 1/2 in.),Dataset\Gilbert Stuart\major-general-henry-dearborn
2214,North River Shad,William Merritt Chase,c. 1910,Oil on canvas,73.7 × 94 cm (29 × 37 in.),Dataset\William Merritt Chase\north-river-shad
2215,"The Fountain, Villa Torlonia, Frascati, Italy",John Singer Sargent,1907,Oil on canvas,71.4 × 56.5 cm (28 1/8 × 22 1/4 in.),Dataset\John Singer Sargent\the-fountain-villa-torlonia-frascati-italy
2216,"The Lonely Farm, Nantucket",George Inness,1892,Oil on canvas,78.1 × 116.2 cm (30 3/4 × 45 3/4 in.),Dataset\George Inness\the-lonely-farm-nantucket
2217,The Commode,Walter Gay,1905/12,Oil on canvas,66 × 54.6 cm (26 × 21 1/2 in.),Dataset\Walter Gay\the-commode
2218,Madawaska—Acadian Light-Heavy,Marsden Hartley,1940,Oil on hardboard,101.6 × 76.2 cm (40 × 30 in.),Dataset\Marsden Hartley\madawaska-acadian-light-heavy
2219,Ballet Skirt or Electric Light,Georgia O'Keeffe,1927,Oil on canvas,91.4 × 76.2 cm (36 × 30 in.),Dataset\Georgia O'Keeffe\ballet-skirt-or-electric-light
2220,It Was Yellow and Pink III,Georgia O'Keeffe,1960,Oil on canvas,101.6 × 76.2 cm (40 × 30 in.),Dataset\Georgia O'Keeffe\it-was-yellow-and-pink-iii
2221,Black Rock with Blue Sky and White Clouds,Georgia O'Keeffe,1972,Oil on canvas,91.4 × 77.5 cm (36 × 30 1/2 in.),Dataset\Georgia O'Keeffe\black-rock-with-blue-sky-and-white-clouds
2222,From a Day with Juan IV,Georgia O'Keeffe,1977,Oil on canvas,121.9 × 91.4 cm (48 × 36 in.),Dataset\Georgia O'Keeffe\from-a-day-with-juan-iv
2223,Afterglow,Jonas Lie,c. 1913,Oil on canvas,127.6 × 153.4 cm (50 1/4 × 60 3/8 in.),Dataset\Jonas Lie\afterglow
2224,Old Peasant Lighting a Pipe,Johann Carl Loth,c. 1660,Oil on canvas,37 1/2 × 33 1/2 in. (95 × 85 cm),Dataset\Johann Carl Loth\old-peasant-lighting-a-pipe
2225,The Key,Jackson Pollock,1946,Oil on linen,"149.8 × 208.3 cm (59 × 82 in.), unframed",Dataset\Jackson Pollock\the-key
2226,Portrait of a Man in a Tricorn Hat,John Russell,1767,Oil on canvas,76 × 64 cm (29 7/8 × 25 3/16 in.),Dataset\John Russell\portrait-of-a-man-in-a-tricorn-hat
2227,Mrs. Freeman Flower,Joseph Highmore,1747,Oil on canvas,36 × 28 in. (91.5 × 71.1 cm),Dataset\Joseph Highmore\mrs-freeman-flower
2228,Freeman Flower,Joseph Highmore,1747,Oil on canvas,36 × 27 15/16 in. (91.4 × 71 cm),Dataset\Joseph Highmore\freeman-flower
2229,Two Japanese Wrestlers by a Sink,Lucian Freud,1983/87,Oil on canvas,50.8 × 78.7 cm (20 × 31 in.),Dataset\Lucian Freud\two-japanese-wrestlers-by-a-sink
2230,Portrait of Marevna,Diego Rivera,c. 1915,Oil on canvas,145.7 × 112.7 cm (57 3/8 × 44 3/8 in.),Dataset\Diego Rivera\portrait-of-marevna
2231,Growing City,Eleanor Coen,1956,Oil on canvas,106.6 × 127.3 cm (42 × 50 1/8 in.),Dataset\Eleanor Coen\growing-city
2232,Lost Horizon,Robert Bourdon,1980,Acrylic on wood,88.9 × 127 × 10.2 cm (35 × 50 × 4 in.),Dataset\Robert Bourdon\lost-horizon
2233,Visions of Eternity,Salvador Dalí,1936-37,Oil on canvas,81 1/2 × 46 1/4 in. (207 × 117.5 cm),Dataset\Salvador Dalí\visions-of-eternity
2234,"Procession of Il Redentore, Venice",Grace Ravlin,1914,Oil on canvas,58.6 × 63.6 cm (23 × 25 in.),Dataset\Grace Ravlin\procession-of-il-redentore-venice
2235,Building The Cofferdam,Walter Elmer Schofield,c. 1914,Oil on canvas,127 × 152.4 cm (50 × 60 in.),Dataset\Walter Elmer Schofield\building-the-cofferdam
2236,"The Birth of Rustam, page from a copy of the Shahnama of Firdausi",Islamic,Safavid dynasty (1501–1722)، dated c.1620,Opaque watercolor and gold on paper,35.6 × 22.8 cm (14 × 9 in.),Dataset\Islamic\the-birth-of-rustam-page-from-a-copy-of-the-shahnama-of-firdausi
2237,The Lion Tamer,Sadiqi,"Safavid dynasty (1501–1722), early 17th century",Ink and gold on paper,"Image: 13.8 × 19.6 cm (5 7/16 × 7 3/4 in.); 
Paper: 23.3 × 35.5 cm (9 3/16 × 14 in.)",Dataset\Sadiqi\the-lion-tamer
2238,Head of a Roebuck and Two Ptarmigan,Edwin Henry Landseer,c. 1830,Oil on panel,22.5 × 30.4 cm (8 7/8 × 12 in.),Dataset\Edwin Henry Landseer\head-of-a-roebuck-and-two-ptarmigan
2239,The Fisherman's Family,Pierre Puvis de Chavannes,1887,Oil on canvas,82.5 × 71.8 cm (32 1/2 × 28 1/4 in.),Dataset\Pierre Puvis de Chavannes\the-fisherman-s-family
2240,Flowers,Randall Davey,1914; before 1914,Oil on canvas,"32 × 26""",Dataset\Randall Davey\flowers
2241,Orvieto,Elliot Torrey,1908–1911,Oil on canvas,"50 × 40""",Dataset\Elliot Torrey\orvieto
2242,Eucalol,Ellen Lanyon,1977,Acrylic on canvas,121.9 × 182.8 (48 × 72 in.),Dataset\Ellen Lanyon\eucalol
2243,Saw,Stuart Davis,1923,Oil on canvas,94 × 55.9 cm (37 × 22 in.),Dataset\Stuart Davis\saw
2244,Sunlight,Richard E. Miller,c. 1913,Oil on canvas,114.3 × 146.1 cm (45 × 57 1/2 in.),Dataset\Richard E. Miller\sunlight
2245,Autumn,Wilson Henry Irvine,c. 1914,Oil on canvas,81.3 × 101.6 cm (32 × 40 in.),Dataset\Wilson Henry Irvine\autumn
2246,A Holiday,Edward Henry Potthast,c. 1915,Oil on canvas,76.4 × 101.8 cm (30 1/8 × 40 1/8 in.),Dataset\Edward Henry Potthast\a-holiday
2247,Kentucky Mountaineer,James Roy Hopkins,1915,Oil on canvas,81.3 × 66 cm (32 × 26 in.),Dataset\James Roy Hopkins\kentucky-mountaineer
2248,Among the Redwoods,Wallace L. DeWolf,1920,Oil on canvas,76.8 × 64.8 cm (30 1/4 × 25 1/2 in.),Dataset\Wallace L. DeWolf\among-the-redwoods
2249,Winter Landscape,Xie Shichen,Ming dynasty (1368–1644),Handscroll; ink with touches of color on paper,10 7/8 × 156 in.,Dataset\Xie Shichen\winter-landscape
2250,Prunus and Bamboo,Lin Xue,"Ming dynasty (1368–1644), 1621",Hanging scroll; ink and slight color on paper,86 × 18.6 cm,Dataset\Lin Xue\prunus-and-bamboo
2251,Mist Rising at Sunset in the Catskills,Sanford Robinson Gifford,c. 1861,Oil on canvas,17.2 × 24.1 cm (6 3/4 × 9 1/2 in.),Dataset\Sanford Robinson Gifford\mist-rising-at-sunset-in-the-catskills
2252,Reclining Nude,Max Beckmann,1929,Oil on canvas,32 7/8 × 46 13/16 in. (83.4 × 119 cm),Dataset\Max Beckmann\reclining-nude
2253,The Blue Forest,Max Ernst,1925,Oil on canvas,116 × 73 cm (45 3/4 × 28 3/4 in.),Dataset\Max Ernst\the-blue-forest
2254,Heart of Darkness,Sean Scully,1982,"Oil on canvas, three joined panels",243.84 × 365.76 cm (96 × 144 in.),Dataset\Sean Scully\heart-of-darkness
2255,Still Life with Flowers,Henri Fantin-Latour,1881,Oil on canvas,19 × 23 1/2 in. (48.2 × 59.7 cm),Dataset\Henri Fantin-Latour\still-life-with-flowers
2256,Still Life with Fruit and Wine Jug,Adolphe Joseph Thomas Monticelli,1874,Oil on panel,19 × 23 1/2 in. (48.2 × 59.7 cm),Dataset\Adolphe Joseph Thomas Monticelli\still-life-with-fruit-and-wine-jug
2257,Madame Vuillard in Profile,Édouard Jean Vuillard,c. 1888,Oil on canvas,11 × 12 3/4 in. (28 × 32.5 cm),Dataset\Édouard Jean Vuillard\madame-vuillard-in-profile
2258,Still Life with Jug and Knife,Édouard Jean Vuillard,1888/89,Oil on canvas,12 × 15 1/2 in. (30.5 × 39.4 cm),Dataset\Édouard Jean Vuillard\still-life-with-jug-and-knife
2259,An Old Man in a Fur Cap,Karel van der Pluym,1650/60,Oil on cradled panel,71.3 × 54.8 cm (28 1/16 × 21 9/16 in.),Dataset\Karel van der Pluym\an-old-man-in-a-fur-cap
2260,"The Solemn Pledge, Taos Indians",Walter Ufer,1916,Oil on canvas,101.9 × 92.1 cm (40 1/8 × 36 1/4 in.),Dataset\Walter Ufer\the-solemn-pledge-taos-indians
2261,Portrait of a Gentleman,Veneto-Lombardian School,1530/50,Oil on panel,76 × 66 cm (29 7/8 × 26 in.); painted surface: 73 × 64 cm (28 3/4 × 25 1/4 in.),Dataset\Veneto-Lombardian School\portrait-of-a-gentleman
2262,Elaine,Toby Edward Rosenthal,1874,Oil on canvas,97.9 × 158.8 cm (38 9/16 × 62 1/2 in.),Dataset\Toby Edward Rosenthal\elaine
2263,Rysdyk's Hambletonian,Artist unknown,after 1876,Oil on canvas,63.5 × 76.2 cm (25 × 30 in.),Dataset\Artist unknown\rysdyk-s-hambletonian
2264,Mrs. Klapp (Anna Milnor),Thomas Sully,1814,Oil on canvas,92.1 × 71.5 cm (36 1/4 × 28 1/8 in.),Dataset\Thomas Sully\mrs-klapp-anna-milnor
2265,United by Music 合樂圖,Zhou Wenju,"Ming dynasty (1368–1644), 15th/16th century，明朝",Handscroll; ink and colors on silk,41.9 × 184.2 cm,Dataset\Zhou Wenju\united-by-music-he-le-tu
2266,Cows in a Pond at Sunset,Sanford Robinson Gifford,1860,Oil on canvas,19.1 × 35.9 cm (7 1/2 × 14 1/8 in.),Dataset\Sanford Robinson Gifford\cows-in-a-pond-at-sunset
2267,Untitled,Yves Tanguy,1928,Oil on eight joined panels,"78 3/4 × 23 1/2 in. (200 × 59.7 cm), each panel",Dataset\Yves Tanguy\untitled
2268,Icebound,John Henry Twachtman,c. 1889,Oil on canvas,64. 2 × 76.6 cm (25 1/4 × 30 1/8 in.),Dataset\John Henry Twachtman\icebound
2269,Riter Fitzgerald,Thomas Eakins,1895,Oil on canvas,193.7 × 163.2 cm (76 1/4 × 64 1/4 in.),Dataset\Thomas Eakins\riter-fitzgerald
2270,Crows Descending to Withered Trees,Zhang Feng,Qing dynasty (1644–1911),Handscroll; ink on paper,17 1/2 × 225 in.,Dataset\Zhang Feng\crows-descending-to-withered-trees
2271,Painting,Joan Miró,summer 1936,"Oil, gravel, pebbles, and sand on Masonite",30 9/16 × 42 3/16 in. (77.6 × 107.2 cm),Dataset\Joan Miró\painting
2272,J. Frank Currier (1843–1909),Frank Duveneck,1876,Oil on canvas,62.9 × 53 cm (24 3/4 × 20 7/8 in.),Dataset\Frank Duveneck\j-frank-currier-1843-1909
2273,Mrs. George Lingen,Thomas Sully,1842,Oil on canvas,71.8 × 62.9 cm (28 1/2 × 24 3/4 in. [oval]),Dataset\Thomas Sully\mrs-george-lingen
2274,"Albin Polasek, Sculptor",Charles Webster Hawthorne,1917,Oil on canvas,101.6 × 101.6 cm (40 × 40 in.),Dataset\Charles Webster Hawthorne\albin-polasek-sculptor
2275,Untitled No. 2,Arakawa Shūsaku,1968,Oil on canvas,121.9 × 162.6 cm (48 × 64 in.),Dataset\Arakawa Shūsaku\untitled-no-2
2276,The Loire,Alfred Sisley,1896,Oil on canvas,18 3/16 × 21 3/4 in. (46.3 × 55.3 cm),Dataset\Alfred Sisley\the-loire
2277,The Beginning,Barnett Newman,1946,Oil on canvas,101.6 × 75.6 cm (40 × 29 3/4 in.),Dataset\Barnett Newman\the-beginning
2278,Untitled 3,Barnett Newman,1950,Oil on canvas,142.2 × 7.6 cm (56 × 3 in.),Dataset\Barnett Newman\untitled-3
2279,"Still Life with Glass, Dice, Newspaper and Playing Card",Georges Braque,1913,Oil on canvas mounted on hardboard,13 5/8 × 9 3/8 in. (34.6 × 23.8 cm),Dataset\Georges Braque\still-life-with-glass-dice-newspaper-and-playing-card
2280,Glass and Playing Cards,Juan Gris,1915,Oil and sand on cardboard,11 1/2 × 7 3/4 in. (29.2 × 19.7 cm),Dataset\Juan Gris\glass-and-playing-cards
2281,Still Life,Jean Lurçat,1930,Oil on panel,24 × 35 cm (9 3/8 × 13 3/4 in.),Dataset\Jean Lurçat\still-life
2282,The Cello,Louis Marcoussis,1930,Oil on canvas,15 × 21 3/4 in. (38.1 × 55.2 cm),Dataset\Louis Marcoussis\the-cello
2283,Glass and Pipe,Pablo Picasso,1919,Oil on canvas,10 1/2 × 8 1/2 in. (26.7 × 21.6 cm),Dataset\Pablo Picasso\glass-and-pipe
2284,Hand Holding Cloth,Léopold Survage,1929,Oil on canvas,15 × 18 in. (38.1 × 45.7 cm),Dataset\Léopold Survage\hand-holding-cloth
2285,Still Life,Claude Venard,n.d.,Oil on canvas,13 3/4 × 9 1/2 in. (34.9 × 4.1 cm),Dataset\Claude Venard\still-life
2286,Still Life with Eggs,Claude Venard,n.d.,Oil on panel,11 3/8 × 9 in. (28.9 × 22.9 cm),Dataset\Claude Venard\still-life-with-eggs
2287,The Eye,René Magritte,1932/35,Oil on canvas,10 1/2 × 10 × 2 1/2 in. (27 × 24.8 × 14.4 cm),Dataset\René Magritte\the-eye
2288,Untitled (Desert Landscape),Salvador Dalí,1933,Oil on panel,7 1/8 × 5 7/16 in. (18.1 × 14.1 cm),Dataset\Salvador Dalí\untitled-desert-landscape
2289,Landscape with Figures and Boats,John Quidor,c. 1867,oil on canvas,26 × 35.9 cm (10 1/4 × 14 1/8 in.),Dataset\John Quidor\landscape-with-figures-and-boats
2290,Spring,Charles Demuth,1921,Oil and graphite on canvas,56.2 × 61.3 cm (22 1/8 × 24 1/8 in.),Dataset\Charles Demuth\spring
2291,Geese and Hollyhocks,Jessie Arms Botke,1917,Oil on canvas mounted on board,71.1 × 90.2 cm (28 × 35 1/2 in.),Dataset\Jessie Arms Botke\geese-and-hollyhocks
2292,An Antique Orison,Arthur B. Davies,c. 1914,Oil on canvas,64.8 × 101.6 cm (25 1/2 × 40 in.),Dataset\Arthur B. Davies\an-antique-orison
2293,Chicago Harbor,William Samuel Schwartz,1931,Oil on canvas,76.7 × 91.1 cm (30 3/16 × 35 7/8 in.),Dataset\William Samuel Schwartz\chicago-harbor
2294,Houses at Chatou,Maurice de Vlaminck,c. 1905,Oil on canvas,32 × 40 in. (81.3 × 101.6 cm),Dataset\Maurice de Vlaminck\houses-at-chatou
2295,Attraction,Brian Connelly,1950,Oil and tempera on panel,50.8 × 61 cm (20 × 24 in.),Dataset\Brian Connelly\attraction
